Flight No.,Date and time ( ),Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome
21,"4 March 2016, 23:35 [ 21 ]",F9 FT B1021.1 [ 115 ],"Cape Canaveral , LC-40",S,"3,136 kg (6,914 lb) [ 116 ]",LEO ( ISS ),NASA ( CRS )
22,"8 April 2016, 20:43 [ 21 ]",F9 FT B1022.1 [ 122 ],"Cape Canaveral , LC-40",J,"4,696 kg (10,353 lb) [ 124 ]",GTO,SKY Perfect JSAT Group
23,"6 May 2016, 05:21 [ 21 ]",F9 FT B1023.1 [ 129 ],"Cape Canaveral , LC-40",T,"3,100 kg (6,800 lb) [ 132 ]",GTO,Thaicom
24,"27 May 2016, 21:39 [ 128 ]",F9 FT B1024.1 [ 108 ],"Cape Canaveral , LC-40",A,"3,600 kg (7,900 lb)",GTO,ABS Eutelsat
25,"15 June 2016, 14:29 [ 21 ]",F9 FT B1025.1 [ 129 ],"Cape Canaveral , LC-40",S,"2,257 kg (4,976 lb) [ 142 ]",LEO ( ISS ),NASA ( CRS )
26,"18 July 2016, 04:45 [ 21 ]",F9 FT B1026.1 [ 108 ],"Cape Canaveral , LC-40",J,"4,600 kg (10,100 lb)",GTO,SKY Perfect JSAT Group
27,"14 August 2016, 05:26",F9 FT B1029.1 [ 151 ],"VAFB , SLC-4E",I,"9,600 kg (21,200 lb)",Polar LEO,Iridium Communications
28,"14 January 2017, 17:54",F9 FT B1031.1 [ 8 ],"KSC , LC-39A",S,"2,490 kg (5,490 lb) [ 160 ]",LEO ( ISS ),NASA ( CRS )
29,"19 February 2017, 14:39",F9 FT B1030.1 [ 163 ],"KSC , LC-39A",E,"5,600 kg (12,300 lb) [ 164 ]",GTO,EchoStar
30,"16 March 2017, 06:00",F9 FT ♺ B1021.2 [ 115 ],"KSC , LC-39A",S,"5,300 kg (11,700 lb) [ 169 ]",GTO,SES
31,"30 March 2017, 22:27",F9 FT B1032.1 [ 129 ],"KSC , LC-39A",N,Classified,LEO [ 175 ],NRO
32,"1 May 2017, 11:15",F9 FT B1034.1 [ 179 ],"KSC , LC-39A",I,"6,070 kg (13,380 lb) [ 181 ]",GTO,Inmarsat
33,"15 May 2017, 23:21",F9 FT B1035.1 [ 185 ],"KSC , LC-39A",S,"2,708 kg (5,970 lb) [ 186 ]",LEO ( ISS ),NASA ( CRS )
34,"3 June 2017, 21:07",F9 FT ♺ B1029.2 [ 195 ],"KSC , LC-39A",B,"3,669 kg (8,089 lb) [ 197 ]",GTO,Bulsatcom
35,"23 June 2017, 19:10",F9 FT B1036.1 [ 198 ],"VAFB , SLC-4E",I,"9,600 kg (21,200 lb)",LEO,Iridium Communications
36,"25 June 2017, 20:25",F9 FT B1037.1 [ 200 ],"KSC , LC-39A",I,"6,761 kg (14,905 lb) [ 202 ]",GTO,Intelsat
37,"5 July 2017, 23:38",F9 B4 B1039.1 [ 207 ],"KSC , LC-39A",S,"3,310 kg (7,300 lb)",LEO ( ISS ),NASA ( CRS )
38,"14 August 2017, 16:31",F9 FT B1038.1 [ 209 ],"VAFB , SLC-4E",F,"475 kg (1,047 lb) [ 212 ]",SSO,NSPO
39,"24 August 2017, 18:51",F9 B4 B1040.1 [ 108 ],"KSC , LC-39A",B,"4,990 kg (11,000 lb) [ 216 ] + OTV payload",LEO,USAF
40,"7 September 2017, 14:00 [ 215 ]",F9 B4 B1041.1 [ 219 ],"VAFB , SLC-4E",I,"9,600 kg (21,200 lb)",Polar LEO,Iridium Communications
41,"9 October 2017, 12:37",F9 FT ♺ B1031.2 [ 220 ],"KSC , LC-39A",S,"5,200 kg (11,500 lb)",GTO,SES S.A. EchoStar
42,"11 October 2017, 22:53:00",F9 B4 B1042.1 [ 219 ],"KSC , LC-39A",K,"3,500 kg (7,700 lb)",GTO,KT Corporation
